,Adj Close,Close,Date,High,Low,Open,Volume,S&P 500 PE Ratio
11608,65.96,65.96,1974-12-23,67.18,65.34,0.0,18040000,8.079354838709678
11609,66.91,66.91,1974-12-20,67.93,66.36,0.0,15840000,8.005806451612903
11610,67.65,67.65,1974-12-19,68.62,66.93,0.0,15900000,7.981290322580645
11611,67.9,67.9,1974-12-18,69.01,67.3,0.0,18050000,7.956774193548387
11612,67.58,67.58,1974-12-17,67.92,65.86,0.0,16880000,7.932258064516129
11613,66.46,66.46,1974-12-16,67.74,66.02,0.0,15370000,7.907741935483871
11614,67.07,67.07,1974-12-13,68.15,66.32,0.0,14000000,7.8341935483870975
11615,67.45,67.45,1974-12-12,68.61,66.56,0.0,15390000,7.809677419354839
11616,67.67,67.67,1974-12-11,69.03,66.83,0.0,15700000,7.785161290322581
11617,67.28,67.28,1974-12-10,68.17,65.88,0.0,15690000,7.760645161290323
11618,65.6,65.6,1974-12-09,66.29,64.13,0.0,14660000,7.736129032258065
11619,65.01,65.01,1974-12-06,66.2,64.4,0.0,15500000,7.662580645161291
11620,66.13,66.13,1974-12-05,68.0,65.9,0.0,12890000,7.638064516129033
11621,67.41,67.41,1974-12-04,68.32,66.61,0.0,12580000,7.613548387096774
11622,67.17,67.17,1974-12-03,68.13,66.62,0.0,13620000,7.589032258064516
11623,68.11,68.11,1974-12-02,69.8,67.81,0.0,11140000,7.564516129032258
11624,69.97,69.97,1974-11-29,70.49,69.18,0.0,7400000,7.570666666666667
11625,69.94,69.94,1974-11-27,71.31,69.17,0.0,14810000,7.601333333333334
11626,69.47,69.47,1974-11-26,70.36,68.19,0.0,13600000,7.616666666666667
11627,68.83,68.83,1974-11-25,69.68,67.79,0.0,11300000,7.632
11628,68.9,68.9,1974-11-22,70.0,68.24,0.0,13020000,7.678
11629,68.18,68.18,1974-11-21,68.94,66.85,0.0,13820000,7.693333333333333
11630,67.9,67.9,1974-11-20,69.25,67.36,0.0,12430000,7.708666666666667
11631,68.2,68.2,1974-11-19,69.71,67.66,0.0,15720000,7.724
11632,69.27,69.27,1974-11-18,71.1,68.95,0.0,15230000,7.739333333333334
11633,71.91,71.91,1974-11-15,73.27,71.41,0.0,12480000,7.785333333333333
11634,73.06,73.06,1974-11-14,74.54,72.53,0.0,13540000,7.800666666666666
11635,73.35,73.35,1974-11-13,74.25,72.32,0.0,16040000,7.816
11636,73.67,73.67,1974-11-12,75.59,73.34,0.0,15040000,7.831333333333333
11637,75.15,75.15,1974-11-11,75.7,74.04,0.0,13220000,7.846666666666667
11638,74.91,74.91,1974-11-08,76.0,74.01,0.0,15890000,7.892666666666667
11639,75.21,75.21,1974-11-07,76.3,73.85,0.0,17150000,7.908
11640,74.75,74.75,1974-11-06,77.41,74.23,0.0,23930000,7.923333333333334
11641,75.11,75.11,1974-11-05,75.36,72.49,0.0,15960000,7.938666666666666
11642,73.08,73.08,1974-11-04,73.8,71.93,0.0,12740000,7.954
11643,73.88,73.88,1974-11-01,74.85,72.68,0.0,13470000,8.0
11644,73.9,73.9,1974-10-31,75.9,73.15,0.0,18840000,7.989677419354838
11645,74.31,74.31,1974-10-30,75.45,72.4,0.0,20130000,7.9793548387096775
11646,72.83,72.83,1974-10-29,73.19,70.49,0.0,15610000,7.969032258064516
11647,70.09,70.09,1974-10-28,70.67,68.89,0.0,10540000,7.958709677419355
11648,70.12,70.12,1974-10-25,71.59,69.46,0.0,12650000,7.927741935483871
11649,70.22,70.22,1974-10-24,70.98,68.8,0.0,14910000,7.917419354838709
11650,71.03,71.03,1974-10-23,72.81,70.4,0.0,14200000,7.9070967741935485
11651,73.13,73.13,1974-10-22,75.09,72.55,0.0,18930000,7.896774193548387
11652,73.5,73.5,1974-10-21,73.92,71.24,0.0,14500000,7.886451612903226
11653,72.28,72.28,1974-10-18,73.34,71.2,0.0,16460000,7.855483870967742
11654,71.17,71.17,1974-10-17,72.0,69.41,0.0,14470000,7.84516129032258
11655,70.33,70.33,1974-10-16,71.98,69.54,0.0,14790000,7.8348387096774195
11656,71.44,71.44,1974-10-15,73.35,70.61,0.0,17390000,7.824516129032258
11657,72.74,72.74,1974-10-14,74.43,71.17,0.0,19770000,7.814193548387097
11658,71.14,71.14,1974-10-11,71.99,68.8,0.0,20090000,7.783225806451613
11659,69.79,69.79,1974-10-10,71.48,68.3,0.0,26360000,7.772903225806451
11660,67.82,67.82,1974-10-09,68.15,63.74,0.0,18820000,7.76258064516129
11661,64.84,64.84,1974-10-08,66.07,63.95,0.0,15460000,7.752258064516129
11662,64.95,64.95,1974-10-07,65.4,62.78,0.0,15000000,7.741935483870967
11663,62.34,62.34,1974-10-04,63.23,60.96,0.0,15910000,7.710967741935484
11664,62.28,62.28,1974-10-03,63.48,61.66,0.0,13150000,7.700645161290322
11665,63.38,63.38,1974-10-02,64.62,62.74,0.0,12230000,7.690322580645161
11666,63.39,63.39,1974-10-01,64.37,61.75,0.0,16890000,7.68
11667,63.54,63.54,1974-09-30,64.85,62.52,0.0,15000000,7.673333333333333
11668,64.94,64.94,1974-09-27,67.09,64.58,0.0,12320000,7.653333333333333
11669,66.46,66.46,1974-09-26,67.4,65.79,0.0,9060000,7.6466666666666665
11670,67.57,67.57,1974-09-25,69.77,66.86,0.0,17620000,7.64
11671,68.02,68.02,1974-09-24,69.03,67.42,0.0,9840000,7.633333333333333
11672,69.42,69.42,1974-09-23,71.02,68.79,0.0,12130000,7.626666666666667
11673,70.14,70.14,1974-09-20,71.12,68.62,0.0,16250000,7.6066666666666665
11674,70.09,70.09,1974-09-19,70.76,68.36,0.0,17000000,7.6
11675,67.72,67.72,1974-09-18,68.14,65.92,0.0,11760000,7.593333333333334
