DAY,TOTAL BALANCE,STATUS
441,2041.4000000001847,Insuffucuent amount to buy unit price $2873.4
442,2041.4000000001847,Insuffucuent amount to buy unit price $2867.24
443,2041.4000000001847,Insuffucuent amount to buy unit price $2867.19
444,2041.4000000001847,Insuffucuent amount to buy unit price $2834.4
445,2041.4000000001847,Insuffucuent amount to buy unit price $2815.44
446,2041.4000000001847,Insuffucuent amount to buy unit price $2805.37
447,2041.4000000001847,Insuffucuent amount to buy unit price $2818.46
448,2041.4000000001847,Insuffucuent amount to buy unit price $2798.36
449,2041.4000000001847,Insuffucuent amount to buy unit price $2800.71
450,2041.4000000001847,Insuffucuent amount to buy unit price $2854.88
451,2041.4000000001847,Insuffucuent amount to buy unit price $2824.23
452,2041.4000000001847,Insuffucuent amount to buy unit price $2832.57
453,2041.4000000001847,Insuffucuent amount to buy unit price $2832.94
454,2041.4000000001847,Insuffucuent amount to buy unit price $2822.48
455,2041.4000000001847,Insuffucuent amount to buy unit price $2808.48
456,2041.4000000001847,Insuffucuent amount to buy unit price $2810.92
457,2041.4000000001847,Insuffucuent amount to buy unit price $2791.52
458,2041.4000000001847,Insuffucuent amount to buy unit price $2783.3
459,2041.4000000001847,Insuffucuent amount to buy unit price $2743.07
460,2041.4000000001847,Insuffucuent amount to buy unit price $2748.93
461,2041.4000000001847,Insuffucuent amount to buy unit price $2771.45
462,2041.4000000001847,Insuffucuent amount to buy unit price $2789.65
463,2041.4000000001847,Insuffucuent amount to buy unit price $2792.81
464,2041.4000000001847,Insuffucuent amount to buy unit price $2803.69
465,2041.4000000001847,Insuffucuent amount to buy unit price $2784.49
466,2041.4000000001847,Insuffucuent amount to buy unit price $2792.38
467,2041.4000000001847,Insuffucuent amount to buy unit price $2793.9
468,2041.4000000001847,Insuffucuent amount to buy unit price $2796.11
469,2041.4000000001847,Insuffucuent amount to buy unit price $2792.67
470,2041.4000000001847,Insuffucuent amount to buy unit price $2774.88
471,2041.4000000001847,Insuffucuent amount to buy unit price $2784.7
472,2041.4000000001847,Insuffucuent amount to buy unit price $2779.76
473,2041.4000000001847,Insuffucuent amount to buy unit price $2775.6
474,2041.4000000001847,Insuffucuent amount to buy unit price $2745.73
475,2041.4000000001847,Insuffucuent amount to buy unit price $2753.03
476,2041.4000000001847,Insuffucuent amount to buy unit price $2744.73
477,2041.4000000001847,Insuffucuent amount to buy unit price $2709.8
478,2041.4000000001847,Insuffucuent amount to buy unit price $2707.88
479,2041.4000000001847,Insuffucuent amount to buy unit price $2706.05
480,2041.4000000001847,Insuffucuent amount to buy unit price $2731.61
481,2041.4000000001847,Insuffucuent amount to buy unit price $2737.7
482,2041.4000000001847,Insuffucuent amount to buy unit price $2724.87
483,2041.4000000001847,Insuffucuent amount to buy unit price $2706.53
484,2041.4000000001847,Insuffucuent amount to buy unit price $2704.1
485,2041.4000000001847,Insuffucuent amount to buy unit price $2681.05
486,2041.4000000001847,Insuffucuent amount to buy unit price $2640.0
487,2041.4000000001847,Insuffucuent amount to buy unit price $2643.85
488,2041.4000000001847,Insuffucuent amount to buy unit price $2664.76
489,2041.4000000001847,Insuffucuent amount to buy unit price $2642.33
490,2041.4000000001847,Insuffucuent amount to buy unit price $2638.7
491,2041.4000000001847,Insuffucuent amount to buy unit price $2632.9
492,2041.4000000001847,Insuffucuent amount to buy unit price $2670.71
493,2041.4000000001847,Insuffucuent amount to buy unit price $2635.96
494,4657.500000000185,Sold 1 units for price $2616.1 and investment $-0.753425696899806
495,2047.2000000001844,Bought 1.0 units for price $2610.3
496,2047.2000000001844,Insuffucuent amount to buy unit price $2582.61
497,2047.2000000001844,Insuffucuent amount to buy unit price $2596.26
498,4643.840000000184,Sold 1 units for price $2596.64 and investment $0.014636438569313334
499,2058.880000000184,Bought 1.0 units for price $2584.96
500,2058.880000000184,Insuffucuent amount to buy unit price $2574.41
501,4608.570000000183,Sold 1 units for price $2549.69 and investment $-0.96022001157546
502,7140.510000000184,Sold 1 units for price $2531.94 and investment $-1.6496983774923109
503,4692.6200000001845,Bought 1 units for price $2447.89
504,2182.5900000001843,Bought 1.0 units for price $2510.03
505,2182.5900000001843,Insuffucuent amount to buy unit price $2506.85
506,2182.5900000001843,Insuffucuent amount to buy unit price $2485.74
507,2182.5900000001843,Insuffucuent amount to buy unit price $2488.83
